sorting_criteria,post_ID,commentor_username,comment_text,comment_time
following,27242322,yeasinarafat33,Awesome looking design,about 17 hours
following,27242322,Afterglow-studio,Cool,about 17 hours
following,27242322,flowforgestd,Wonderful design 🤩,about 18 hours
following,27242322,eastplayersteam,Cool UI!,about 18 hours
following,27242322,Marat_Vahitov,Cool!!!,about 19 hours
following,27242322,FabrizioBoni,Beautiful ui!,about 19 hours
following,27242322,emoteagency,@Rashedul Islam 🔥 @Ishan Sarkar @Jahid hasan 🔥 @Koushik Sarkar @Bishwajit Ghosh 🚀 Love seeing this energy here — thank you so much! 🙌,about 20 hours
following,27242322,uixbishwajit,Creative idea,about 20 hours
following,27242322,SARKAR07,Best UI,about 20 hours
following,27242322,jahid7755,Outstanding work,about 20 hours
following,27242322,bizoypiexlpro,Excellent work,about 20 hours
following,27242322,uirashed,Creative.,about 20 hours
following,27242277,eastplayersteam,So cool,4 minutes
following,27242277,Nadezhda_C,Cool design!,about 17 hours
following,27242277,mostafizurUx24,Great work,about 22 hours
following,27242277,OlexandrBYSHIVA,@Alex Pavlov Thanks a lot!],1 day
following,27242277,consulxx,Amazing work! 🔥,1 day
following,27242270,nextgen-it-agency,Creative Work,about 13 hours
following,27242270,IsmailNahid,Nice!,about 21 hours
following,27242270,pictodesignstudio,Great work🔥👏👏,about 23 hours
following,27242127,mohashinmilon,Exceptional,about 13 hours
following,27242127,uiuxzahid,Elegant work,about 15 hours
following,27242127,SARKAR07,Nice work,about 18 hours
following,27242127,sohantalukderr,So Clean design,about 19 hours
following,27242127,aftabulsamudro,Very nice shot! I really like your work!,1 day
following,27242127,uiyuki00,nice job,1 day
following,27242127,esa-moni,great job,1 day
following,27242127,imranuix2,beautiful,1 day
following,27242127,awe_mobileapp,beautiful,1 day
following,27242127,imranbhuiyan,beautifull,1 day
following,27242127,iman0000,beautifull,1 day
following,27242127,sourov27,Nice One!!!,1 day
following,27242127,radkedesign,nice!,1 day
following,27242127,Margaret_Jones,Great as usual :-),1 day
following,27242127,Chris__ling,Very clean project,1 day
following,27242127,Linda_Bridges,"Wonderful, great work!",1 day
following,27242127,Andy_Fox,Attractive project!!,1 day
following,27242127,robdoode,soooo beautifulll!,1 day
following,27242127,StasyaSavchuk,Super great work!!!,1 day
following,27242127,AlexStone5,Super great work!!!,1 day
following,27242127,Octopus_ds,wow! You Rock.,1 day
following,27242127,Felipe_Bryant,Marvellous!,1 day
following,27241811,crevioagency,Minimal vibe,about 15 hours
following,27241811,eastplayersteam,Clear information! Clear UI!,about 18 hours
following,27241811,karimsaif,Great Work💛,about 20 hours
following,27241811,SARKAR07,Outstanding work,about 20 hours
following,27241811,MadbrainsUIUXStudio,"Very polished work, the overall direction looks solid.",about 22 hours
following,27241811,pictodesignstudio,Nice work👏🔥🔥,about 23 hours
following,27241811,nextgen-it-agency,Supper Work,1 day
following,27241811,uiuxmehedi37,Fantastic Work,1 day
following,27241811,designbykhosbur,Clean work!,1 day
following,27241811,jahid7755,Professional work!,1 day
following,27241811,UIX-Maruf,Nice one!,1 day
following,27241811,BDuzzal123-,Good Design,1 day
following,27241811,uiyeasin,Fantastic work,1 day
following,27241811,diponkarkabiraj,Well done!!,1 day
following,27241811,annonya59,Nice,1 day
following,27241647,designbykhosbur,Lovely Design,1 day
following,27241647,Mohammadali1005,Well done!,1 day
following,27241647,UIX-Maruf,Lovely design,1 day
following,27241647,abdurrob2020,Excellent work,1 day
following,27241647,orionix,Excellent work,1 day
following,27241647,diponkarkabiraj,Well done!!,1 day
following,27241647,BDuzzal123-,Good Work,1 day
following,27219215,rajuhossin23456,Good Design,about 20 hours
following,27241594,siagaur,Beautiful work!,about 16 hours
following,27241594,OlexandrBYSHIVA,@Kate Melnychuk Thank you)),about 16 hours
following,27241594,OlexandrBYSHIVA,@Udoy Majumder Thank you)),about 16 hours
following,27241594,Kateryna_Lyal,Great work!,about 16 hours
following,27241594,udoymajumder,Precious Work,1 day
following,27241594,OlexandrBYSHIVA,@Alex Pavlov Thanks!,1 day
following,27241594,OlexandrBYSHIVA,@Lime Gaming Thank you)),1 day
following,27241594,OlexandrBYSHIVA,@Sk Mostafa Kamal thanks!,1 day
following,27241594,lime_gambling,Wow amazing work!!!!,1 day
following,27241594,skabuhena,Excellent job!,1 day
following,27241594,consulxx,Super clean design 👌,1 day
following,27241594,Nadezhda_C,Amazing page design! Animations look so cool,1 day
following,27241594,palash997739,Wow amazing design,1 day
following,27218544,jahid7755,Incredible execution,about 6 hours
following,27218544,michealjohn095,cool work!,about 11 hours
following,27218544,bitwinagency,Wow looks amazing!,about 13 hours
following,27218544,sahil_dobariya,"Clean, typographic, utility-focused.",about 15 hours
following,27218544,Lilibest27,This mobile design looks impressive!,about 15 hours
following,27218544,Huvpalto,Awesome,about 16 hours
following,27218544,cre8product,Interesting and professional layout!,about 16 hours
following,27218544,ProlanceIT,Next level UI work!!!,about 16 hours
following,27218544,rakeshteeart,Awesome work👏🔥🔥,about 16 hours
following,27218544,pixarts,Nice work,about 16 hours
following,27218544,riyadahmod,Truly neat and visually appealing,about 16 hours
following,27218544,flowforgestd,Nicely done 😍🚀,about 18 hours
following,27218544,sudarshanroy009,Good work!,about 18 hours
following,27218544,remusaagency,"A clean and elegant world clock UI with excellent readability, thoughtful layout, and a refined modern aesthetic.",about 20 hours
following,27218544,karimsaif,Great Work💛,about 20 hours
following,27218544,sozance,The flow here makes a lot of sense.,about 21 hours
following,27218544,Rifatony,superb work!,about 22 hours
following,27218544,goflickstudio,"Clean,modern,and perfectly balanced.",about 22 hours
following,27218544,alaminhossen09,Perfect Work,about 22 hours
following,27218544,asib4696,Solid and clean design,about 22 hours
following,27218544,ali-mortuja,This is next-level thinking!,about 22 hours
following,27218544,UIX-Maruf,Super design,1 day
following,27218544,shohaghbrand,“Absolutely stunning work! The attention to detail is next level 👏”,1 day
following,27218544,kriptystudio,Excellent Design!,1 day
following,27218544,eastplayersteam,Look so clean!,1 day
following,27218544,ashrafulmelon111,amazing work,1 day
following,27218544,AlexDanielsU1CORE,Wonderful,1 day
following,27218544,orionix,Awesome,1 day
